altman_score,piotroski_score,involvement_msci.Controversial Weapons,involvement_msci.Gambling,involvement_msci.Tobacco Products,involvement_msci.Alcoholic Beverages,Controversies_score_ESG,global_target_aligned,SBTI_reduction_aligned,Tempurature_aligned
1.39,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.82,7.0,0.0,0.0,0.0,0.0,2.0,0,0,0
0.17,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.79,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.46,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
110.31,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.06,7.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.37,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.72,6.0,0.0,0.0,0.0,0.0,0.0,1,1,0
1.67,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.05,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7.17,7.0,0.0,0.0,0.0,0.0,0.0,1,0,0
2.46,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-1.23,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.15,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.78,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.03,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.42,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1.07,8.0,0.0,0.0,1.0,1.0,2.0,0,0,0
3.34,5.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.01,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4.52,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.78,8.0,0.0,0.0,0.0,0.0,6.0,1,0,0
4.64,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3.33,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8.81,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0
10.13,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
-160.47,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6.33,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5.39,8.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-0.51,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.72,3.0,0.0,0.0,0.0,0.0,0.0,1,0,1
1.69,7.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.68,4.0,0.0,0.0,0.0,0.0,0.0,1,1,0
-2.15,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2.99,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.42,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0
